guest_count,venue_district,ceremony_type,wedding_scale,seasonal_indicator,total_cost_lkr
392,Kandy,Christian,budget,0,1779000
159,Kalutara,Poruwa,premium,1,5927000
144,Kalutara,Hindu,budget,0,481000
261,Galle,Christian,premium,0,10579000
65,Kandy,Islamic,standard,0,880000
389,Kalutara,Poruwa,premium,0,9183000
253,Galle,Poruwa,budget,0,338000
220,Kurunegala,Poruwa,budget,1,691000
249,Gampaha,Hindu,premium,1,11352000
69,Kandy,Christian,premium,0,3320000
60,Kalutara,Hindu,premium,0,3855000
114,Kandy,Christian,standard,0,1137000
203,Kalutara,Islamic,premium,0,7331000
138,Kurunegala,Buddhist,standard,1,1682000
171,Kandy,Islamic,standard,0,2134000
362,Gampaha,Buddhist,standard,0,2754000
84,Kalutara,Islamic,budget,0,419000
128,Kalutara,Buddhist,premium,1,8606000
56,Kalutara,Buddhist,standard,0,744000
355,Kalutara,Christian,budget,0,214000
267,Galle,Buddhist,premium,1,9310000
341,Gampaha,Islamic,premium,0,10644000
205,Galle,Poruwa,premium,0,5603000
353,Kalutara,Hindu,premium,0,11237000
157,Galle,Islamic,standard,1,2417000
139,Kurunegala,Islamic,standard,0,1108000
82,Gampaha,Poruwa,standard,1,1237000
381,Kurunegala,Buddhist,premium,1,11182000
221,Kalutara,Hindu,premium,0,8615000
235,Colombo,Islamic,premium,0,9756000
147,Kurunegala,Hindu,premium,1,7472000
104,Kandy,Islamic,premium,0,3442000
91,Kurunegala,Christian,standard,0,890000
388,Gampaha,Islamic,budget,0,1297000
126,Kurunegala,Christian,premium,1,4458000
134,Kandy,Poruwa,premium,1,4933000
383,Kurunegala,Poruwa,budget,0,424000
327,Colombo,Poruwa,budget,1,1622000
355,Galle,Buddhist,budget,1,1278000
328,Kandy,Poruwa,premium,0,8466000
195,Kandy,Islamic,premium,0,7162000
269,Colombo,Islamic,standard,0,3889000
329,Kalutara,Poruwa,budget,0,1361000
387,Gampaha,Hindu,premium,0,11429000
252,Kandy,Christian,premium,0,9370000
265,Colombo,Buddhist,premium,0,10869000
387,Galle,Islamic,premium,0,13705000
175,Colombo,Poruwa,standard,0,2053000
382,Kalutara,Islamic,standard,1,4700000
222,Kalutara,Islamic,premium,0,7941000
114,Kalutara,Christian,premium,0,6308000
392,Colombo,Poruwa,budget,0,1445000
137,Kandy,Christian,standard,0,1397000
294,Kurunegala,Buddhist,premium,0,8792000
226,Galle,Poruwa,standard,0,2778000
74,Gampaha,Hindu,budget,1,207000
191,Gampaha,Christian,premium,0,9000000
290,Galle,Poruwa,budget,0,1247000
175,Kandy,Hindu,budget,1,1032000
74,Kalutara,Christian,budget,0,106000
285,Gampaha,Hindu,budget,0,1388000
97,Kandy,Hindu,standard,1,1661000
64,Galle,Buddhist,budget,0,308000
148,Colombo,Islamic,budget,0,686000
307,Kurunegala,Poruwa,standard,0,2452000
240,Kalutara,Buddhist,standard,0,1821000
213,Kurunegala,Islamic,budget,1,73000
109,Kurunegala,Poruwa,standard,1,1375000
325,Galle,Buddhist,budget,1,1893000
155,Kalutara,Christian,standard,0,1894000
374,Kandy,Christian,premium,1,11862000
266,Galle,Christian,premium,1,9467000
354,Colombo,Christian,standard,1,4864000
222,Kurunegala,Christian,standard,1,2076000
264,Kalutara,Poruwa,standard,0,2359000
164,Kalutara,Hindu,premium,0,6801000
70,Kalutara,Christian,premium,1,5048000
158,Colombo,Poruwa,premium,1,9336000
286,Kandy,Buddhist,premium,1,10632000
172,Kandy,Hindu,budget,0,654000
258,Kandy,Poruwa,premium,1,10449000
144,Colombo,Islamic,premium,1,6632000
320,Gampaha,Islamic,premium,1,10666000
238,Kalutara,Islamic,budget,0,855000
398,Gampaha,Hindu,standard,0,4604000
396,Kalutara,Hindu,budget,0,1741000
389,Kurunegala,Poruwa,budget,1,1601000
177,Colombo,Christian,budget,1,1174000
399,Kalutara,Buddhist,premium,0,10821000
356,Colombo,Poruwa,budget,0,1250000
391,Kalutara,Hindu,premium,0,13579000
146,Colombo,Islamic,budget,1,1129000
333,Gampaha,Buddhist,premium,1,7607000
105,Colombo,Poruwa,standard,1,1670000
128,Gampaha,Christian,standard,1,1448000
195,Gampaha,Hindu,budget,1,1149000
58,Kandy,Islamic,standard,0,907000
377,Colombo,Buddhist,budget,1,2323000
365,Kandy,Poruwa,standard,0,4058000
147,Colombo,Hindu,premium,1,8993000
256,Kalutara,Christian,premium,0,10958000
357,Kurunegala,Poruwa,standard,0,3432000
65,Galle,Christian,budget,1,441000
149,Gampaha,Christian,budget,0,553000
157,Gampaha,Poruwa,standard,1,2152000
174,Colombo,Poruwa,standard,1,2929000
288,Kurunegala,Hindu,standard,0,2478000
72,Gampaha,Poruwa,premium,0,7261000
85,Kurunegala,Christian,budget,0,372000
168,Kalutara,Poruwa,standard,0,1866000
146,Colombo,Buddhist,premium,0,6603000
154,Colombo,Poruwa,standard,1,1838000
139,Gampaha,Islamic,budget,1,599000
219,Kandy,Islamic,budget,1,1355000
236,Gampaha,Hindu,standard,0,2464000
264,Galle,Hindu,budget,0,393000
166,Kalutara,Buddhist,budget,1,828000
362,Gampaha,Buddhist,standard,1,4318000
355,Kalutara,Hindu,premium,0,10851000
123,Kurunegala,Buddhist,standard,1,1446000
122,Kalutara,Buddhist,budget,0,602000
96,Kandy,Islamic,budget,0,426000
296,Kandy,Hindu,standard,0,3317000
387,Kurunegala,Christian,standard,0,3716000
125,Colombo,Christian,premium,0,6615000
167,Kalutara,Islamic,budget,1,605000
193,Gampaha,Poruwa,premium,1,6898000
282,Kalutara,Christian,standard,1,2571000
350,Galle,Christian,budget,1,1604000
98,Galle,Hindu,budget,0,85000
198,Galle,Islamic,standard,1,2530000
386,Kalutara,Islamic,standard,1,5021000
371,Galle,Christian,standard,1,3475000
61,Galle,Christian,standard,1,1159000
133,Kandy,Poruwa,premium,0,3713000
118,Kurunegala,Poruwa,budget,0,169000
377,Kurunegala,Buddhist,premium,1,14056000
168,Kalutara,Hindu,standard,1,2134000
194,Kandy,Christian,budget,1,824000
155,Kurunegala,Buddhist,standard,0,1426000
311,Kurunegala,Christian,premium,0,5700000
188,Galle,Poruwa,standard,0,1483000
302,Kalutara,Hindu,budget,1,1469000
69,Colombo,Buddhist,standard,1,1570000
194,Kandy,Hindu,standard,1,2909000
390,Colombo,Buddhist,premium,1,15238000
332,Gampaha,Buddhist,standard,1,4460000
275,Colombo,Islamic,standard,0,2715000
262,Gampaha,Hindu,premium,0,11139000
295,Gampaha,Poruwa,standard,1,3872000
243,Gampaha,Hindu,budget,0,1156000
259,Kurunegala,Christian,standard,0,2376000
358,Colombo,Hindu,budget,1,2264000
334,Kandy,Hindu,premium,1,10683000
131,Kurunegala,Poruwa,standard,1,1218000
