guest_group,age,priority,plus_one,wheelchair,allergy,side_code,relationship_code,has_avoid,table_type,min_age,max_age,min_priority,max_priority,min_seats,max_seats,action_if_bad
Bride's Family,42,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Family,44,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,67,5,0,1,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Family,63,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Other,44,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Groom's Friends,23,2,0,0,0,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
VIP,41,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Family,67,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Friends,34,2,0,0,1,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
VIP,61,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Family,77,4,1,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Colleagues,35,2,0,0,0,1,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Groom's Family,25,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Relatives,33,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Colleagues,33,2,0,0,1,1,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Bride's Colleagues,28,2,0,0,0,0,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Groom's Family,64,4,0,0,1,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Family,57,4,0,0,1,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Other,18,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,36,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Colleagues,42,2,0,0,0,0,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Bride's Family,53,4,1,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Friends,35,2,0,0,0,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Groom's Colleagues,35,2,0,0,0,1,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Bride's Friends,27,2,0,0,1,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Bride's Family,35,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Family,43,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Family,37,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Family,74,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Other,35,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Relatives,53,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Family,40,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,63,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Colleagues,40,2,0,0,0,0,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Relatives,35,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Relatives,23,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Family,35,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Other,34,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,50,5,1,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
VIP,40,5,0,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
VIP,72,5,1,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Relatives,29,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Other,35,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Bride's Friends,25,2,0,0,1,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Other,35,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Other,28,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Bride's Family,56,4,0,0,1,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Family,53,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,45,5,1,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
VIP,67,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Relatives,62,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Colleagues,24,2,0,0,0,1,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Groom's Family,28,4,1,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,28,5,1,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
VIP,25,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Relatives,69,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Family,4,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Family,49,4,0,1,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Colleagues,35,2,0,0,0,1,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Bride's Family,27,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Family,8,4,1,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Family,33,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Family,19,4,0,0,1,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Colleagues,29,2,0,0,1,1,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Bride's Family,37,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Relatives,35,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Relatives,35,3,1,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Family,34,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Neighbours,35,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,50,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Relatives,37,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Family,22,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Family,25,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
VIP,54,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Family,35,4,0,0,1,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
VIP,50,5,0,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Colleagues,35,2,0,0,0,0,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Relatives,41,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Family,45,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Other,69,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Other,35,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,27,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Family,70,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Friends,35,2,0,0,1,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Bride's Friends,24,2,0,1,0,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Groom's Friends,33,2,0,0,1,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Groom's Family,34,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Other,54,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,35,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Family,47,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Neighbours,58,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Bride's Friends,26,2,0,0,0,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
VIP,74,5,0,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Family,60,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,26,5,1,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Family,30,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,52,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Other,48,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,54,5,0,0,0,2,5,1,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
VIP,46,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
VIP,64,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
VIP,48,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Other,51,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,62,5,0,1,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Family,35,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Colleagues,52,2,0,0,0,0,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Other,23,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Groom's Family,3,4,0,0,1,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Colleagues,29,2,0,0,0,1,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Other,45,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,47,5,0,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Friends,44,2,0,0,0,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Relatives,43,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Friends,30,2,0,0,1,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Other,58,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Relatives,51,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Family,8,4,0,0,0,1,4,1,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Family,38,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Neighbours,28,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Neighbours,22,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Groom's Friends,39,2,0,0,0,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
VIP,19,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Relatives,71,3,0,0,1,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
VIP,67,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Friends,24,2,0,0,0,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Bride's Family,72,4,0,1,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Colleagues,25,2,0,0,0,1,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Other,35,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Bride's Family,38,4,0,1,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
VIP,64,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Family,52,4,1,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Colleagues,44,2,1,0,0,0,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Other,35,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Bride's Colleagues,24,2,0,0,0,0,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Relatives,20,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Neighbours,35,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Groom's Family,5,4,1,0,1,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Other,71,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Bride's Family,79,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Colleagues,25,2,0,0,0,0,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Neighbours,64,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,40,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
VIP,73,5,0,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Other,66,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Bride's Friends,34,2,0,0,0,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
VIP,35,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Relatives,52,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
VIP,43,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Family,35,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Groom's Friends,31,2,0,0,0,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
VIP,44,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
VIP,59,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Family,28,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,48,5,1,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Relatives,35,3,0,0,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Relatives,35,3,0,0,1,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Relatives,36,3,1,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Colleagues,28,2,0,0,1,1,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Bride's Family,60,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Family,59,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Friends,25,2,0,0,1,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Neighbours,47,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,35,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Neighbours,61,1,0,0,0,2,1,1,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,59,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Relatives,69,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
VIP,58,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Other,35,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Bride's Family,75,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
VIP,27,5,0,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Relatives,24,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Family,26,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Family,57,4,0,0,1,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Friends,26,2,0,0,0,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
VIP,44,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Family,29,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Relatives,37,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Family,70,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Family,46,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Family,51,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
VIP,35,5,0,0,0,2,5,1,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Family,16,4,1,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Other,49,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Other,67,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
VIP,50,5,1,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Bride's Family,30,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Relatives,35,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
VIP,64,5,0,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Neighbours,77,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Bride's Family,35,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Family,51,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Family,23,4,0,0,0,0,4,1,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Neighbours,70,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Bride's Family,43,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Relatives,70,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
VIP,42,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Family,35,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Bride's Family,57,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Colleagues,27,2,0,0,1,1,2,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
VIP,35,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Relatives,50,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Groom's Friends,43,2,0,0,0,1,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
Other,44,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Neighbours,56,1,0,0,1,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Neighbours,52,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Relatives,35,3,0,0,1,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Friends,29,2,0,0,0,0,3,0,friends,16,80,2,2,8,10,"Seat at a Friends table. If that suite is full, use General — not VIP / Head."
VIP,48,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Relatives,69,3,0,1,0,2,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,47,5,1,0,1,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Groom's Family,62,4,0,0,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
VIP,54,5,0,0,0,2,5,0,vip,16,90,5,5,6,12,Move this guest to a VIP / Head table. Do not seat VIP at General or Friends.
Neighbours,63,1,0,0,0,2,1,0,general,1,95,1,2,8,10,Seat at a General table. Add chairs if the table is already at max_seats.
Groom's Family,67,4,0,1,0,1,4,0,groom-family,1,95,3,4,8,12,Seat with Groom's Family. Keep children at the same table as their family.
Relatives,54,3,0,0,0,2,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
Bride's Family,35,4,0,0,0,0,4,0,bride-family,1,95,3,4,8,12,Seat with Bride's Family. Keep children at the same table as their family.
